State,life_expectancy,State_abbr,life_expectancy_norm,poverty_rate_2023,poverty_norm,mental_health_norm,mental_health_index,State_edu,education_index_raw,education_index_norm,State_unemp,unemployment_rate_avg,unemployment_norm,State_inc,median_income,income_norm,predictor_index,Percentile_Class
Kentucky,75.5,KY,16.923076923076835,18.567768595041322,24.096052099735164,48.77555459821972,38.44285714285714,KY,48.211441103286894,3.468900748895716,KY,4.779063360881542,52.59572573405269,KY,53930.14049586777,11.743595725500612,24.22093246006743,Tier_1
Louisiana,75.7,LA,19.999999999999957,20.927692307692308,6.223181059434301,32.50228087578666,31.44545454545454,LA,47.31123349453311,2.8592947475630446,LA,4.507179487179487,57.424429108097556,LA,52053.47692307692,8.140400276558404,20.163353750826655,Tier_1
Massachusetts,80.4,MA,92.3076923076923,10.7,83.68256022297432,60.992610703266095,37.17142857142857,MA,56.72192082171013,9.23205966926181,MA,4.484444444444445,57.828207294971754,MA,89890.46666666666,80.78744859275126,64.42441335259717,Tier_5
Maryland,78.5,MD,63.07692307692299,10.764000000000001,83.19785652664409,62.41015521974615,36.02142857142857,MD,54.62855536084249,7.814466510174789,MD,3.4813333333333336,75.64362952215437,MD,87860.6,76.89010309016024,61.423282970169005,Tier_5
Maine,78.3,ME,59.999999999999865,11.847058823529412,74.99531566558537,51.47059750430683,38.785714285714285,ME,56.28087406347358,8.93338995343756,ME,3.764705882352941,70.61088534012117,ME,64182.0,31.427173562283784,49.40037514065112,Tier_3
Michigan,78.0,MI,55.3846153846153,13.689285714285715,61.04321904951509,51.49163576073998,37.978571428571435,MI,54.50520663084365,7.730936749558623,MI,5.425,41.12378226693666,MI,61914.75,27.074051883971812,39.654986039085,Tier_2
Minnesota,80.4,MN,92.3076923076923,10.193181818181818,87.52094531820292,66.25165497697692,37.15714285714285,MN,55.72077693520589,8.554101256695864,MN,3.3291666666666666,78.34613514246082,MN,72854.85227272728,48.07905634592316,63.260683247175194,Tier_5
Missouri,76.9,MO,38.46153846153847,14.299137931034483,56.424506179619726,57.326740690820024,38.371428571428574,MO,51.15918490593273,5.4650650725585095,MO,3.3350574712643675,78.24151346097071,MO,56379.18103448276,16.44575537252223,40.673045253203576,Tier_2
Mississippi,74.4,MS,0.0,21.749397590361447,0.0,46.836844659135046,36.81428571428571,MS,47.67909418289841,3.1084040431313165,MS,4.856626506024096,51.21819121701174,MS,47813.68674698795,0.0,14.135457743583743,Tier_1
Montana,78.4,MT,61.53846153846154,13.868421052631579,59.68653841452127,57.235514520325054,38.33571428571429,MT,55.5929276941994,8.467523822973353,MT,3.136842105263158,81.76185173467958,MT,59874.350877192985,23.156484057794746,47.85974851428964,Tier_3
North Carolina,77.6,NC,49.230769230769056,15.364356435643565,48.357078889254645,60.59282943999646,37.65714285714286,NC,51.353722813009,5.596802989997981,NC,4.315511551155115,60.8284839230268,NC,60117.75247524752,23.623815306235365,39.62424819259674,Tier_2
North Dakota,78.8,ND,67.69230769230757,11.633333333333335,76.61396465149201,72.0192597744264,28.063636363636363,ND,54.74899662434015,7.896027381602999,ND,2.498148148148148,93.10516394996378,ND,69451.66666666667,41.544937463108425,58.70218745921599,Tier_4
