State,v009_rawvalue_norm,v011_rawvalue_norm,v049_rawvalue_norm,v070_rawvalue_norm,v045_rawvalue_norm,v014_rawvalue_norm,v138_rawvalue_norm,v060_rawvalue_norm,v061_rawvalue_norm,v132_rawvalue_norm,v143_rawvalue_norm,v004_rawvalue_norm,v062_rawvalue_norm,v088_rawvalue_norm,v005_rawvalue_norm,v085_rawvalue_norm,v131_rawvalue_norm,v024_rawvalue_norm,v044_rawvalue_norm,v069_rawvalue_norm,v023_rawvalue_norm,v140_rawvalue_norm,v063_rawvalue_norm,v141_rawvalue_norm,v149_rawvalue_norm,v136_rawvalue_norm,v153_rawvalue_norm,v154_rawvalue_norm,v067_rawvalue_norm,v137_rawvalue_norm,v036_rawvalue_norm,v042_rawvalue_norm,v144_rawvalue_norm,v145_rawvalue_norm,v147_rawvalue_norm,v168_rawvalue_norm,v171_rawvalue_norm,v151_rawvalue_norm,v172_rawvalue_norm,v167_rawvalue_norm,v169_rawvalue_norm,v177_rawvalue_norm,v183_rawvalue_norm,v184_rawvalue_norm,real_gdp_total_norm,real_pce_total_norm,disposable_income_total_norm,real_pc_income_norm,pc_pce_norm,rpp_index_norm,employment_total_norm,arts_ratio_norm,predictor_index
GA,0.5026260366898293,0.35502537665559725,0.6835509836072461,0.37337760159528094,0.5617947894391583,0.42873980052212607,0.8659493357338759,0.31750364698088157,0.7548002526846177,0.41781463946006053,0.3690656592578671,0.8149947691253687,0.929825051396996,0.9189967146440429,0.3319313620972041,0.28147410545026824,0.6166899488673164,0.39189998456843417,0.6758993788929623,0.30600237798089464,0.6836357033146746,0.20679407589904994,0.39827322947058547,0.73595431867603,0.43673347672861546,0.6883502927940377,0.7034193844428981,0.5564614860413781,0.15021531394273652,0.21442392198911653,0.5714809218326319,0.5800624341496872,0.5558079095024185,0.5897040434178116,0.4884124884307024,0.4057747556574697,0.8368117477978242,0.4639393937061377,0.46717419731101956,0.6010900952584779,0.22765797908288937,0.4861561253455035,0.41854318375972754,0.14555466898966485,0.17956586698583096,0.21744906334669406,0.1594968121564177,0.21958202996492754,0.1881198910081744,0.6541673659561885,0.24148888476386263,0.29088710899449505,0.47446797972231197
HI,0.735976658634297,0.9196843422523205,0.3772389774140192,0.7210597302822993,0.7074362690872226,0.5991874729999495,0.8519822975966554,0.5613188572167951,0.9388638875535014,0.8262977219580284,0.008373257169466334,0.483304962991147,0.7247084877971859,0.45419914924104604,0.9815295305947335,0.9149477347156433,0.9956505130947707,0.8178769656623696,0.8708211274920085,0.4797747758158604,0.6034218647783336,0.12631809486508694,0.8482646336091856,0.454092690053695,0.33508961443031415,0.0006981347157906844,0.5855657317008929,0.12364904457325769,0.3306398267214215,0.2489694488714839,0.9257516555838968,0.9227835807116972,0.9172061825830831,0.9471361106421602,1.0,0.8382672342922654,0.6435615711555362,0.3563037476477341,0.18778839026603203,0.9635105133788499,,0.07600801835684029,,,0.01671713916610891,0.01775448118823368,0.015924972196533608,0.16030455607411495,0.28577345270533283,0.08213255332582081,0.019911550613906478,0.2037447581866019,0.5059367233969794
IA,0.46820902775451784,0.2476706861985153,0.17410552329131743,0.5022214834037939,0.7083633872697889,0.6712160801384686,0.9367964497758906,0.6337931572993659,0.9766952337716758,0.5413031021215433,0.772002676791534,0.7165526734701708,0.8948537884770614,0.704770570713115,0.625697044100974,0.8532906796452382,0.6415086414879997,0.7637357577585749,0.8987304845830137,0.5283995617685134,0.8126863327815416,0.4197590436133496,0.37231434657172363,0.6608751323668456,0.8008473881932833,0.9588427219629381,0.9263245476379948,0.9312272349625879,0.09650217969715048,0.8229184394043042,0.8577343036903012,0.7690541174978773,0.8540000105484798,0.7861304647469378,0.6566174106626724,0.8553370403873203,0.7210408716373718,0.5437631960785343,0.3036642606576736,0.8430819073198881,0.5152358490960726,0.7220999829490761,0.3290912653887136,0.8604298822743068,0.04938600147174602,0.058744278516550036,0.04371560702173382,0.3588793540868615,0.1741891786687427,0.8426718454050685,0.06659542724297475,0.1250974251144757,0.6048832973822091
ID,0.5991233209821402,0.5335423607105565,0.6016292958117584,0.6687468552866016,0.8347808751660907,0.604450692067354,0.8667325589559685,0.6785260437445516,0.999836757047771,0.4554265499111853,0.7665515251390295,0.8438334906991255,0.8028830530607044,0.7535298506058622,0.9408360356100262,0.4996456911604403,0.6138103442470896,0.7794619278503756,0.9101515911475336,0.35114534221982957,0.8099996112511628,0.1369835175044975,0.36547592392676376,0.2341866731026082,0.5786543257962796,0.8133825052822777,0.9154983769715286,0.8410516047390773,0.1451232225648165,0.7305655425153406,0.5866393171681471,0.6776918222300318,0.6043401675983284,0.6882223963953589,0.6679602022248315,0.7105649867843485,0.8582307966714818,0.7720184524931469,0.14043263962585562,0.9972392944286066,0.38995771241984123,0.5781791334394902,0.8550614054279352,0.9502429477186259,0.015537904116775738,0.023533606074041306,0.01882621978761793,0.20278182031080108,0.12624834565978982,0.753698242585533,0.027393897762658565,0.15371655993365027,0.5850013717152445
IL,0.6130422461522735,0.4868195141364063,0.4460862490020419,0.5154106443786051,0.5973976275122149,0.6269582203998247,0.702748663103519,0.5455443309921447,0.8836324396758973,0.7760647003363784,0.6433025653696737,0.6159277092327371,0.7255005489936927,0.5474007819997673,0.2745326787353291,0.7000862053929463,0.7903620711375484,0.616291766030241,0.792239669524924,0.5307305871051167,0.37250999667380186,0.24842379430649086,0.5424166725436755,0.11300658382771833,0.6449679632565455,0.6541331624758995,0.7722504096169348,0.5410855419206638,0.26170881622579517,0.22656767943185507,0.7176152628236876,0.7927571658370094,0.7264197816493274,0.8254754278583768,0.6426792279551045,0.5689790470886447,0.6313061576023112,0.6803785488612637,0.09676442822282626,0.12860716978648865,0.5965333417607116,0.4762309089779248,,,0.2503467311851525,0.28987084733258306,0.22746529396345813,0.39378174782400205,0.2825706500583885,0.4802041126215765,0.29693914538500554,0.2628917036283427,0.5053082343612519
IN,0.2768649993477928,0.23911962035928616,0.5879691881368462,0.30845267948844307,0.67394241224286,0.4077912538744976,0.5958842347955463,0.36469932054531456,0.9345402860842963,0.43468345243098677,0.437737497784578,0.8146737869659866,0.891613806797675,0.8482919919223265,0.3346587384538107,0.6325556188012905,0.6922282961946512,0.6005632721500922,0.9009342727772905,0.25335499903717146,0.7055458242214344,0.32977506462819434,0.3094362007593215,0.4144070056855,0.6556201428482196,0.9027088201172665,0.8731915627382114,0.8508720268467709,0.07474013235519211,0.5119059828314484,0.5073571549620777,0.43608624914660205,0.5048731686104856,0.4688679106208737,0.4055021994906573,0.5488881755226984,0.7884336206686999,0.658738739660292,0.11812563648284446,0.6419311380130185,0.4204904103708915,0.2729786478832102,0.6838014404183417,0.6769315883472404,0.10439179907866707,0.1364930761204607,0.10014192901714573,0.276459075626035,0.17897859089139742,0.7700935849177235,0.14226499278837323,0.11843287094371752,0.4957966062301175
KS,0.47076305938877344,0.28303609925366907,0.5042517561596217,0.5048253393439349,0.6866165734168711,0.4493416083382578,0.8765510883232985,0.5207893351990519,0.9649520096060717,0.5279755499760959,0.6609016792600299,0.6448902230559646,0.8268069321028529,0.8074468716523758,0.5464348093590007,0.5668163876014144,0.5309681961276621,0.7114814017607823,0.8985313049539961,0.5286905775107619,0.8016744235093235,0.3719115560741695,0.3639520348107949,0.7583436257077006,0.746007465594584,0.8974440586571197,0.7759347156402864,0.8822095762942711,0.08662788105717349,0.8052184253780462,0.7492141613298288,0.6536677263022134,0.7323336543323521,0.6633274799084335,0.5453745119743835,0.7358101408486964,0.8382590899104483,0.6197561069572952,0.22987925236285237,0.7949212789983804,0.5429889281308442,0.43123856119205883,0.7948402367515446,0.9609274803583769,0.0422950913981517,0.05263888409009614,0.040574319131258765,0.37651316192993317,0.1827699493966524,0.7811343674826375,0.061056345983377024,0.17641212069912843,0.5762231538075788
KY,0.13471390300206249,0.1874754322525186,0.6894587796203462,0.17381033335728877,0.7583292802739626,0.16443938202731573,0.4274688509151779,0.25145423883805246,0.9329056452307065,0.3165005498345401,0.20928968185305094,0.8444281307539385,0.748624077132401,0.7461405162946826,0.15280420244947054,0.7804212078402709,0.3218858143897351,0.3212331817469769,0.6374004028467354,0.2377578041219176,0.5085697254920941,0.26205051958996384,0.14920596860104704,0.6076904526919412,0.421495665020281,0.8542055508896578,0.8112488710312326,0.7945730920352384,0.07671527929861921,0.5523557479866503,0.16004743168329646,0.3059795839690574,0.1557760841572386,0.28715029794262653,0.2454693001065603,0.3434374920367455,0.5916063827402546,0.5727245641084577,0.22321606881348927,0.8501762528516845,0.4900699444327892,0.35465743228704344,0.7736035509504042,0.7796853421031402,0.05502604258829552,0.08426785249898607,0.05645118945466847,0.1814846411624652,0.150008563643441,0.8480663645735932,0.08617689281626681,0.11359813953326985,0.4175407527351654
LA,0.2180532646575496,0.12922919598556468,0.40978129432033095,0.16317479784881575,0.42322499599566155,0.11948474714431784,0.5368351574731621,0.16621094224465446,0.7876845279346343,0.4332183948118303,0.31432460555504566,0.7777334312047479,0.6479788067888892,0.8586454858019037,0.15354504545146505,0.6274297235013324,0.6612530258149373,0.05242322009383543,0.43491447773375785,0.07100790237931094,0.4398397300566363,0.2296704363779732,0.08647123959181467,0.5799768301276079,0.09521658403594489,0.7000121980525339,0.7732936030943406,0.5204931751898818,0.05909706397366924,0.45735958560405593,0.2887158112364319,0.19031731134645616,0.26139695282292325,0.21478762276113397,0.27186405698614763,0.20807947204275767,0.5379943040196431,0.9189901559622706,0.12209966969391828,0.5070014521113484,0.22324790264553152,0.2914367144835665,,,0.06414578377498793,0.08891715264456405,0.06422418669475227,0.2485405061808936,0.16832386142467887,0.792858455808898,0.09229746645079764,0.11674064500159459,0.3397599029524999
MA,0.7355436664475922,0.8608085983670701,0.34560152814361533,0.6737796652307751,0.7846921723253816,0.9984868360075428,0.5238517823094766,0.7826920295703587,0.8734971625372877,0.8608568969376987,0.6620102960198592,0.2941462755762531,0.0,0.22118644265807483,0.31846435599850775,1.0,0.40544111912762354,0.7922191262664575,0.5734149688503991,0.6703638972218946,0.5775504239081334,0.23155554954301627,0.9190716204809085,0.3354600776114994,0.937600233065377,0.5922660662283148,0.6486209507310237,0.3690638013965008,0.3317058951803156,0.16741598835744168,0.8203677277827698,0.6386032427783171,0.8385874130002415,0.7222805986284365,0.7995706522492011,0.6968541640327306,0.13732719214823244,0.14578759614222508,0.2860876714053052,0.48644579595741444,0.8198363750378214,0.7218086189852818,0.607958228822273,0.793969087956439,0.16398160705272857,0.17182388917318903,0.14707462155736659,0.6180503281421633,0.43226469443363175,0.20840026533042422,0.17585326597849318,0.3244026015930912,0.5429172088517706
