State,v009_rawvalue_norm,v011_rawvalue_norm,v049_rawvalue_norm,v070_rawvalue_norm,v045_rawvalue_norm,v014_rawvalue_norm,v138_rawvalue_norm,v060_rawvalue_norm,v061_rawvalue_norm,v132_rawvalue_norm,v004_rawvalue_norm,v062_rawvalue_norm,v088_rawvalue_norm,v005_rawvalue_norm,v085_rawvalue_norm,v131_rawvalue_norm,v024_rawvalue_norm,v044_rawvalue_norm,v069_rawvalue_norm,v023_rawvalue_norm,v140_rawvalue_norm,v063_rawvalue_norm,v136_rawvalue_norm,v067_rawvalue_norm,v137_rawvalue_norm,v036_rawvalue_norm,v042_rawvalue_norm,v143_rawvalue_norm,v141_rawvalue_norm,v144_rawvalue_norm,v145_rawvalue_norm,v149_rawvalue_norm,v153_rawvalue_norm,v154_rawvalue_norm,v147_rawvalue_norm,v168_rawvalue_norm,v171_rawvalue_norm,v151_rawvalue_norm,v170_rawvalue_norm,v172_rawvalue_norm,v167_rawvalue_norm,v169_rawvalue_norm,v177_rawvalue_norm,v183_rawvalue_norm,v184_rawvalue_norm,predictor_index
GA,0.4802497494186513,0.3742901632181203,0.6986960397982469,0.41883509466269014,0.6048697817137306,0.3989315648147755,0.8263907012415955,0.3216542764844743,0.7868326396219132,0.4269871972964054,0.8099592734028849,0.9283685770369722,0.9241724947590965,0.39149584416812644,0.24767633376559503,0.6404169728728225,0.3527670719685569,0.6922170786098478,0.30400027115303074,0.5058332078662361,0.21277891005580835,0.36002325133477125,0.6399806665970068,0.13445904435574735,0.22934734161919498,0.5721670649454004,0.5580460267890556,0.3572292505698802,0.7468973069046929,0.5466518493834622,0.5608671615792024,0.3637790197487304,0.7008711846380368,0.5523831970940327,0.4757168698832545,0.4057747556574697,0.8368117477978242,0.4639393937061377,,0.46717419731101956,0.6010900952584779,0.22765797908288937,0.4861561253455035,0.41854318375972754,0.14555466898966485,0.4936347319091254
HI,0.7267881429648446,0.8954609539906183,0.3884650088508981,0.7365354859015649,0.7063017990621626,0.5863834072813291,0.8271025890384102,0.5985422535653245,0.9378309036359969,0.8163782662113114,0.4732593217912591,0.7071858916283446,0.4552218572303454,0.9899251985062183,0.8971318194964226,0.9741590947395788,0.8392896557017114,0.8315355022458983,0.5063264666015731,0.7062690869420547,0.12553332898924222,0.8534971603558801,0.008110686733762,0.34572524282197786,0.2414423251842822,0.9132919024150791,0.901035617898447,0.005023954301679801,0.5009629581778996,0.9314533168127724,0.939698937150823,0.3520967086526483,0.5774404338876777,0.12615480059859954,1.0,0.8382672342922654,0.6435615711555362,0.3563037476477341,,0.18778839026603203,0.9635105133788499,,0.07600801835684029,,,0.5689062400549979
IA,0.480814451692162,0.2664188872548077,0.2532943348551941,0.49019360009636925,0.7596847261403926,0.6776279976482781,0.9027004047553561,0.6077271515432572,0.9801905647072402,0.529663140887743,0.6971637313060821,0.8985857121314261,0.724026608064841,0.5969179444933403,0.8279494613771764,0.6590534667350259,0.781633054671964,0.9159012870611977,0.5668318958103925,0.7902147939317097,0.4468377086730051,0.3858115614301228,0.9499623706790037,0.09642059051192495,0.8218756748802868,0.890783232952914,0.7892064709873629,0.8118389510850097,0.648289577902049,0.8719978836165417,0.7982083381525829,0.8383771737660036,0.9290517043559615,0.934542531923288,0.6534698887033897,0.8553370403873203,0.7210408716373718,0.5437631960785343,,0.3036642606576736,0.8430819073198881,0.5152358490960726,0.7220999829490761,0.3290912653887136,0.8604298822743068,0.6674373410155048
ID,0.605875843946594,0.5182596467378535,0.632977247165002,0.6933871544286995,0.857362897020056,0.5906410655157636,0.8137993775622179,0.6846308426242552,0.9958741466107565,0.4660766666824438,0.8369641219496725,0.7869669658256249,0.7405036655854821,0.9033643301520741,0.43374966708613116,0.6115795189440887,0.7279626980424964,0.9264972479036885,0.3749903392713623,0.7468333365771452,0.1491852629245928,0.30862400537473156,0.7648591645641396,0.14376006923381326,0.7424512328864176,0.6166296938630602,0.6388835113290141,0.7804951002698977,0.3070092322153953,0.6434389430173207,0.6776832378049563,0.5328914463843304,0.9112044422093719,0.8337955481794369,0.659750014460668,0.7105649867843485,0.8582307966714818,0.7720184524931469,,0.14043263962585562,0.9972392944286066,0.38995771241984123,0.5781791334394902,0.8550614054279352,0.9502429477186259,0.6415150172382209
IL,0.588482725134669,0.49971312830053,0.40448959439678767,0.5508105841162343,0.6141674168741637,0.6045803035056978,0.7112411583428951,0.5611234888851868,0.8893623858040676,0.7731698349947944,0.5899437704268727,0.7496900259981051,0.5759671010620045,0.32955890448276287,0.6538918203841791,0.8248508211942852,0.6022478850643743,0.8233086289124284,0.5323345383585025,0.30854979561703105,0.25213231705602185,0.5365373159825348,0.6156130149294626,0.24862916225923806,0.22814644160674663,0.6799798615405274,0.7265965985202805,0.6323716115834623,0.12232932586264353,0.715705221345432,0.8012503337767761,0.5994058400057565,0.7742485730225525,0.5359486821310143,0.6376748844035409,0.5689790470886447,0.6313061576023112,0.6803785488612637,,0.09676442822282626,0.12860716978648865,0.5965333417607116,0.4762309089779248,,,0.523947604870128
IN,0.25895338697094383,0.24213801969349796,0.5999545162930242,0.32180120045122124,0.7052683486290781,0.42482931020113274,0.5901951480011174,0.3638807497582567,0.9408878767183324,0.4310157779433665,0.7985935609166912,0.8813083980058948,0.8636888164871152,0.3450640668500705,0.5572862645446283,0.7404993439961735,0.5684527580169093,0.9289395286240645,0.27009763342672827,0.6155941530399596,0.34467169965945016,0.2985076251652314,0.8687400247005613,0.061820195412804965,0.5114234187367719,0.5196440740576945,0.4096833101136132,0.4365985352471693,0.4097492313300396,0.5110960572272177,0.45626482225134407,0.591699531540466,0.8735091106806167,0.8497981721485516,0.391609060863584,0.5488881755226984,0.7884336206686999,0.658738739660292,,0.11812563648284446,0.6419311380130185,0.4204904103708915,0.2729786478832102,0.6838014404183417,0.6769315883472404,0.5280540811827431
KS,0.47505075130661306,0.28015216742992266,0.5644213513900764,0.49314649545778244,0.7413752294421113,0.44178072338315905,0.8427081873759608,0.5191035013888641,0.9671128971778902,0.516670371558563,0.6435482626585883,0.8069378418229968,0.8260785475092546,0.5280073132602854,0.5541053304719457,0.5406509938595597,0.7160250432921234,0.9250163808267281,0.5520266973565007,0.7392353716675738,0.3924647018017284,0.3698173907523486,0.8793833796260752,0.07625682697988433,0.8050926699352839,0.8079027700912756,0.7210437081100401,0.7045762666937309,0.7520491094190478,0.7837670700144084,0.7265082190254732,0.7470878411470262,0.7789637845872536,0.8841797336671811,0.5396092775609375,0.7358101408486964,0.8382590899104483,0.6197561069572952,,0.22987925236285237,0.7949212789983804,0.5429889281308442,0.43123856119205883,0.7948402367515446,0.9609274803583769,0.6346319025939371
KY,0.09004620366419301,0.17828811297610841,0.7339458078425284,0.20654754660500052,0.7766915752955835,0.1816974829772817,0.3778668158027291,0.2132922100280618,0.9435411066541696,0.3225539639175473,0.8195919972020669,0.7594745030406442,0.7481083076570324,0.08334774679062029,0.7019718900127528,0.38902227170267606,0.3116874846467089,0.6715196786443793,0.22933149833701866,0.4376418333423269,0.27547818037128596,0.14168409381616273,0.8328506525192825,0.06897692194853589,0.5558679590316741,0.14594712089574496,0.25100031634052516,0.2420977682858549,0.6032023874257453,0.14835756287887686,0.2657199349113352,0.3884688526628937,0.8118371941004897,0.7921929084508597,0.2229807678844953,0.3434374920367455,0.5916063827402546,0.5727245641084577,,0.22321606881348927,0.8501762528516845,0.4900699444327892,0.35465743228704344,0.7736035509504042,0.7796853421031402,0.44078765577672147
LA,0.2050075753187803,0.0992384984602993,0.48234346592850746,0.17070771867767112,0.45205218783681306,0.1410299185058799,0.5625969279848387,0.19546063985289283,0.8074442533244991,0.4241188083907051,0.7899858807511358,0.7042669970470112,0.8728601573658499,0.16291157824990424,0.4855899748260563,0.7029066489217753,0.08521547159178618,0.4821415996307698,0.07103021540538944,0.3816133882262593,0.24013865555398112,0.10431282853653948,0.692821150829452,0.0593766911553187,0.4567571045844195,0.347374236184359,0.27221555781040924,0.34361069296137703,0.5757941481690898,0.3120681031315818,0.27192664801506095,0.06391590667231224,0.7721884632322453,0.5278043138416872,0.257389529414698,0.20807947204275767,0.5379943040196431,0.9189901559622706,,0.12209966969391828,0.5070014521113484,0.22324790264553152,0.2914367144835665,,,0.365738071592598
MA,0.7001910294117963,0.8145026193579966,0.37574190330003937,0.6644251324814955,0.8286298132897779,0.9908348679474752,0.5213986687718535,0.6991991120174995,0.8818024557882673,0.8613584563039118,0.23793507255374174,0.0,0.25247156485920386,0.3722889309104059,1.0,0.4278024857691937,0.7945082878475344,0.6212599180332457,0.6810086267279981,0.5657652547917521,0.23472509711256695,0.8934118886695335,0.576347128530291,0.3043042423249505,0.18098022261189384,0.7884172253074125,0.5708491952305461,0.622224235413895,0.33373865960193333,0.808837174420634,0.6520294985100894,0.9004598257500006,0.6510623009607638,0.3740406347672449,0.7940456627851915,0.6968541640327306,0.13732719214823244,0.14578759614222508,,0.2860876714053052,0.48644579595741444,0.8198363750378214,0.7218086189852818,0.607958228822273,0.793969087956439,0.5703366133232903
