State  v009_rawvalue_norm  v011_rawvalue_norm  v049_rawvalue_norm  v070_rawvalue_norm  v045_rawvalue_norm  v014_rawvalue_norm  v138_rawvalue_norm  v060_rawvalue_norm  v061_rawvalue_norm  v132_rawvalue_norm  v183_rawvalue_norm  v143_rawvalue_norm  v004_rawvalue_norm  v062_rawvalue_norm  v088_rawvalue_norm  v005_rawvalue_norm  v085_rawvalue_norm  v131_rawvalue_norm  v024_rawvalue_norm  v044_rawvalue_norm  v069_rawvalue_norm  v168_rawvalue_norm  v023_rawvalue_norm  v140_rawvalue_norm  v171_rawvalue_norm  v151_rawvalue_norm  v063_rawvalue_norm  v172_rawvalue_norm  v141_rawvalue_norm  v149_rawvalue_norm  v184_rawvalue_norm  v177_rawvalue_norm  v136_rawvalue_norm  v153_rawvalue_norm  v154_rawvalue_norm  v067_rawvalue_norm  v137_rawvalue_norm  v167_rawvalue_norm  v169_rawvalue_norm  v036_rawvalue_norm  v042_rawvalue_norm  v144_rawvalue_norm  v145_rawvalue_norm  v147_rawvalue_norm
   ME            0.428128            0.485163            0.410574            0.638555            0.951828            0.848414            0.517721            0.739483            0.960331            0.199779            0.434778            0.775503            0.284261            0.329219            0.696569            0.742364            0.653325            0.293746            0.746402            0.735757            0.474454            0.991739            0.696866            0.271250            0.560055            0.344241            0.378542            0.473119            0.015961            0.636779            0.869748            0.897204            0.905496            0.991305            0.788638            0.188972            0.452114            0.875495            0.697592            0.672703            0.462018            0.642375            0.487584            0.898826
   MI            0.376330            0.366270            0.446932            0.518135            0.756326            0.660934            0.732635            0.569598            0.933973            0.657092            0.580222            0.629807            0.668372            0.662730            0.586657            0.264613            0.834658            0.606026            0.465824            0.807959            0.412901            0.731373            0.379053            0.229639            0.796060            0.532963            0.294274            0.285419            0.065683            0.571492            0.761602            0.756314            0.851210            0.958248            0.723087            0.126907            0.471457            0.214510            0.391472            0.586264            0.447371            0.580751            0.497766            0.876985
   MN            0.566049            0.447741            0.211666            0.719708            0.798097            0.858208            0.831716            0.705735            0.938365            0.674106            0.759847            0.990774            0.538101            0.656576            0.617525            0.630327            0.842698            0.522888            0.884021            0.862791            0.657412            0.927871            0.712894            0.337157            0.634642            0.430144            0.622357            0.239530            0.498718            0.884209            0.883450            1.000000            0.900874            0.942079            0.839069            0.224846            0.576209            0.594114            0.516257            0.841713            0.708153            0.810815            0.747974            0.948986
   MO            0.244641            0.244710            0.337061            0.417789            0.664885            0.415207            0.658339            0.510946            0.917614            0.440465            0.668605            0.536990            0.773818            0.814102            0.798053            0.378745            0.539149            0.686307            0.618670            0.765299            0.362543            0.700951            0.640449            0.297925            0.639270            0.584744            0.280680            0.324972            0.331584            0.538904            0.825865            0.368826            0.888820            0.807896            0.818884            0.112237            0.523413            0.529297            0.360514            0.428300            0.456210            0.373262            0.449196            0.853052
   MS            0.225635            0.004351            0.778540            0.000000            0.416439            0.019791            0.797950            0.000200            0.850824            0.000000            0.355171            0.454334            1.000000            0.866213            0.931403            0.228963            0.357641            0.516490            0.059416            0.441077            0.181358            0.204480            0.602067            0.333746            0.782662            0.710386            0.000000            0.279223            0.858319            0.309845            0.000000            0.161818            0.787260            0.854325            0.664241            0.000000            0.454779            0.494465            0.000000            0.533990            0.629979            0.366354            0.570412            0.774137
   MT            0.402649            0.613266            0.000000            0.726935            0.819832            0.594156            0.907881            0.915556            0.991777            0.382013            0.783277            0.836967            0.602640            0.590999            0.660579            0.821335            0.521101            0.507142            0.743144            0.745806            0.428085            1.000000            0.689684            0.378283            0.334290            0.538506            0.305998            0.138659            0.333967            0.494426            0.887661            0.744503            0.820360            0.852760            0.730464            0.194233            0.889815            0.709671            0.437803            0.567378            0.496224            0.517973            0.512736            0.885269
   NC            0.483183            0.442872            0.495470            0.549646            0.587729            0.497059            0.639250            0.448300            0.860426            0.473633            0.805148            0.692662            0.768585            0.698216            0.815555            0.471797            0.473677            0.447396            0.455251            0.661182            0.434526            0.516199            0.516328            0.296924            0.806618            0.353422            0.337741            0.256035            0.815171            0.524278            0.820220            0.707331            0.797210            0.760574            0.708262            0.169747            0.432587            0.758804            0.311779            0.605452            0.717931            0.458766            0.684339            0.870966
   ND            0.392828            0.266376            0.079002            0.460055            0.712338            0.636121            0.913090            0.692629            0.988410            0.416328                 NaN            0.765294            0.682369            0.852797            0.707470            0.396275            0.728199            0.270545            0.897221            0.695269            0.571907            0.925627            1.000000            0.430175            0.679773            0.805048            0.441603            0.137416            0.785760            0.841126                 NaN            0.375532            0.944189            0.671374            0.969369            0.063057            1.000000            0.776149            0.551736            0.826906            0.894282            0.771022            0.822650            0.912381
   NE            0.533347            0.277821            0.325013            0.428100            0.698032            0.585586            0.990386            0.569844            0.981075            0.635742            0.739785            0.890169            0.720049            0.688642            0.563560            0.665226            0.698443            0.490664            0.834531            0.883528            0.551342            0.749673            0.883395            0.369193            0.652354            0.647939            0.399724            0.287398            0.628617            0.908993            0.904223            0.591834            0.921205            0.765873            0.847615            0.096368            0.884961            0.536766            0.494007            0.830193            0.913619            0.791540            0.982498            0.915283
   NH            0.680182            0.664170            0.337704            0.774444            0.973786            1.000000            0.700509            0.835322            0.985072            0.638190            0.430079            0.762350            0.553237            0.593155            0.627680            0.596777            0.788823            0.333076            1.000000            0.771647            0.516647            0.948273            0.900615            0.256993            0.517335            0.405629            0.831836            0.383437            0.051093            0.932713            0.581585            0.835981            0.842202            0.945826            0.733105            0.161886            0.311894            0.929416            1.000000            0.712798            0.481010            0.726881            0.515092            0.940295
