GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "01000","Alabama",5,SAACARTSCOMP,250,"...","  Wholesale and transportation industries ","Thousands of dollars",91126,90627,89296,97606,103607,119933,121506,126488,99039,99535,104704,98060,98509,95131,96992,101652,113882,109796,103212,112056,112537,113204,121889
 "01000","Alabama",5,SAACARTSCOMP,260,"...","  Retail industries ","Thousands of dollars",145444,157750,156200,161767,168412,167791,169807,168531,160943,158258,176199,169715,169804,166442,154957,161174,149302,151317,157176,156517,174745,272517,298400
 "01000","Alabama",5,SAACARTSCOMP,300,"..."," All other industries 2/","Thousands of dollars",112926,116457,115344,118772,124642,128195,133482,132611,126921,117294,116386,109427,107331,111759,118950,122535,122035,126330,131761,133119,142045,158982,170673
 "02000","Alaska",8,SAACARTSCOMP,1,"...","Total compensation ","Thousands of dollars",14887161,15712496,16529308,17458433,18591971,19598510,20786860,21813843,22539340,23168006,24464329,25731267,26354487,27135899,27821488,27190688,27155675,28291997,28963025,28318848,29279044,30864446,32980290
 "02000","Alaska",8,SAACARTSCOMP,10,"...","Total ACPSA compensation ","Thousands of dollars",718613,737609,721748,713770,699816,684974,719517,750244,763859,795437,808959,836965,850582,895493,907954,917353,923593,997578,1034533,1009201,1032073,1029349,1028382
 "02000","Alaska",8,SAACARTSCOMP,100,"..."," Core arts and cultural production ","Thousands of dollars",51876,52802,55818,54842,60099,62466,68472,67926,65423,65346,66043,70587,73906,77160,73108,71699,70712,73253,75572,73620,74816,86969,97445
 "02000","Alaska",8,SAACARTSCOMP,111,"...","  Performing arts companies ","Thousands of dollars",7567,6852,6181,4910,5077,4174,4014,3962,4357,4273,4712,5555,5623,6312,5368,6385,6621,6793,6954,5998,4180,5896,6968
 "02000","Alaska",8,SAACARTSCOMP,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",(D),(D),(D),1648,(D),1745,3395,3668,4176,3275,3512,3829,4195,4871,5067,5210,5448,5246,5449,4213,4323,6691,9039
 "02000","Alaska",8,SAACARTSCOMP,113,"...","  Agents/managers for artists ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",3348,2396,2311,(D),2061,(D),(D),(D),2064,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,120,"...","  Museums ","Thousands of dollars",4458,6906,6818,8141,9425,11516,12837,13314,10274,9158,9864,12580,14396,15611,14753,15453,17306,18095,17583,17723,14878,16966,22030
 "02000","Alaska",8,SAACARTSCOMP,131,"...","  Advertising ","Thousands of dollars",3812,3515,3253,3612,3922,4304,4674,5563,5176,5380,4901,(D),6736,(D),8125,7876,8650,8240,8649,(D),10187,12328,12621
 "02000","Alaska",8,SAACARTSCOMP,132,"...","  Architectural services ","Thousands of dollars",21583,21132,24486,24134,26218,26756,31082,28245,27036,26590,27141,26924,27389,27205,24160,20638,18089,19313,20010,21869,22098,22709,24272
 "02000","Alaska",8,SAACARTSCOMP,133,"...","  Landscape architectural services ","Thousands of dollars",(D),(D),1813,2208,2626,(D),(D),(D),(D),(D),(D),794,(D),(D),(D),(D),(D),(D),(D),(D),1003,907,(D)
 "02000","Alaska",8,SAACARTSCOMP,134,"...","  Interior design services ","Thousands of dollars",660,(D),863,(D),897,(D),(D),(D),722,706,(D),849,713,895,(D),(D),789,(D),974,814,912,1280,1344
 "02000","Alaska",8,SAACARTSCOMP,135,"...","  Industrial design services ","Thousands of dollars",0,0,0,(D),(D),(D),(D),(D),(D),0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,136,"...","  Graphic design services ","Thousands of dollars",276,(D),468,(D),424,(D),197,158,229,(D),418,765,722,1602,2175,2320,1953,1698,1726,1705,2599,3496,4146
 "02000","Alaska",8,SAACARTSCOMP,137,"...","  Computer systems design ","Thousands of dollars",695,749,(D),742,866,961,(D),1167,1358,1551,1522,1599,1596,1399,1343,1469,1017,998,1013,988,845,1163,1309
 "02000","Alaska",8,SAACARTSCOMP,138,"...","  Photography and photofinishing services ","Thousands of dollars",(D),2998,2682,2313,2798,(D),(D),(D),(D),(D),2126,2503,1741,(D),(D),(D),(D),(D),(D),(D),3968,(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,139,"...","  All other design services ","Thousands of dollars",0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,140,"...","  Fine arts education ","Thousands of dollars",1483,(D),(D),2206,2401,2577,(D),3026,(D),3450,3783,3371,3608,3953,4486,4706,4754,5312,(D),(D),(D),6820,(D)
 "02000","Alaska",8,SAACARTSCOMP,150,"...","  Education services ","Thousands of dollars",1887,2184,2308,1834,1680,1884,2134,1957,1921,1876,1888,1801,1920,1873,1661,1378,1172,1160,996,1113,1144,1060,867
 "02000","Alaska",8,SAACARTSCOMP,200,"..."," Supporting arts and cultural production ","Thousands of dollars",648508,665827,647214,639628,619655,601612,628382,658779,674526,707655,720007,744297,754681,795564,810875,822641,830933,901896,935641,913096,933946,915992,902333
 "02000","Alaska",8,SAACARTSCOMP,211,"...","  Rental and leasing ","Thousands of dollars",(D),(D),2925,2771,2480,2866,2684,2581,2321,2178,(D),(D),1448,(D),(D),(D),(D),(D),574,482,428,880,904
 "02000","Alaska",8,SAACARTSCOMP,212,"...","  Grantmaking and giving services ","Thousands of dollars",899,1019,1320,1268,1394,(D),1645,1581,1757,1621,1897,(D),2042,1785,1934,(D),1328,1367,(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,213,"...","  Unions ","Thousands of dollars",(D),2726,(D),(D),(D),3380,3004,3290,3763,3793,4111,4469,3097,2738,2407,2024,(D),1864,1708,1859,1887,1894,2207
 "02000","Alaska",8,SAACARTSCOMP,214,"...","  Government ","Thousands of dollars",502033,516708,492362,475021,449032,432163,418846,422660,454582,487035,510414,527249,521574,547319,560797,584891,605955,671806,683815,675550,662754,683463,672899
 "02000","Alaska",8,SAACARTSCOMP,215,"...","  Other support services ","Thousands of dollars",105,67,83,116,99,105,115,118,120,127,130,129,105,106,117,113,269,339,(D),121,(D),268,279
 "02000","Alaska",8,SAACARTSCOMP,221,"...","  Publishing ","Thousands of dollars",20491,21842,23525,22456,22583,22748,23523,22876,20482,17172,16173,13930,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12479
 "02000","Alaska",8,SAACARTSCOMP,222,"...","  Motion pictures ","Thousands of dollars",5664,5923,6406,6560,(D),(D),(D),(D),6481,7764,7486,(D),8265,8005,(D),(D),(D),(D),(D),10213,(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,223,"...","  Sound recording ","Thousands of dollars",828,799,892,591,(D),(D),174,347,319,222,224,145,(D),195,69,(D),(D),(D),(D),0,121,172,157
 "02000","Alaska",8,SAACARTSCOMP,224,"...","  Broadcasting ","Thousands of dollars",59146,65674,71687,81322,84547,87134,(D),103655,114577,120361,128418,135504,137477,147865,155971,155842,145298,144357,160911,160241,168877,130425,116816
 "02000","Alaska",8,SAACARTSCOMP,225,"...","  Other information services ","Thousands of dollars",2055,1969,(D),2885,(D),(D),2324,(D),(D),(D),3811,3942,(D),(D),(D),3289,3559,4217,5305,5797,9740,4583,4564
 "02000","Alaska",8,SAACARTSCOMP,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",496,356,451,369,590,663,468,671,333,242,173,223,266,(D),(D),(D),(D),(D),(D),(D),(D),0,(D)
 "02000","Alaska",8,SAACARTSCOMP,232,"...","  Printed goods manufacturing ","Thousands of dollars",2171,1622,1596,1803,1804,1870,2227,2356,2260,2338,2685,2749,2803,2761,2529,2492,2321,2328,2170,1768,1733,1958,2006
 "02000","Alaska",8,SAACARTSCOMP,233,"...","  Musical instruments manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAACARTSCOMP,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",(D),(D),(D),(D),500,586,(D),516,376,379,460,(D),(D),517,786,(D),(D),593,715,749,805,(D),1121
 "02000","Alaska",8,SAACARTSCOMP,236,"...","  Other goods manufacturing ","Thousands of dollars",165,173,168,11,17,18,28,60,(D),(D),47,45,57,48,44,31,(D),58,10,(D),0,(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,240,"...","  Construction ","Thousands of dollars",22178,14353,8424,8586,10572,2952,34932,52070,30997,27645,7380,9472,21768,30141,24224,15400,8688,13078,15553,7214,13147,3905,4461
 "02000","Alaska",8,SAACARTSCOMP,250,"...","  Wholesale and transportation industries ","Thousands of dollars",7966,9963,(D),(D),11872,12421,13831,14253,11884,13555,(D),(D),(D),(D),15431,14518,(D),17990,(D),(D),(D),(D),(D)
 "02000","Alaska",8,SAACARTSCOMP,260,"...","  Retail industries ","Thousands of dollars",(D),(D),19685,21192,21622,22749,22782,(D),20878,19697,20346,19991,20496,19873,19156,19336,20254,22179,23812,23008,31512,44022,47763
 "02000","Alaska",8,SAACARTSCOMP,300,"..."," All other industries 2/","Thousands of dollars",18230,18979,18716,19301,20062,20896,22663,23539,23910,22436,22909,22081,21995,22769,23970,23012,21948,22429,23320,22485,23311,26388,28604
 "04000","Arizona",6,SAACARTSCOMP,1,"...","Total compensation ","Thousands of dollars",95472466,98047257,102681244,111127868,121766658,134540738,142577155,143864775,135111871,134590032,139653956,145253749,150444922,156584875,164006893,170851108,181220568,193295922,204469952,214327727,233751192,252375935,270644853
 "04000","Arizona",6,SAACARTSCOMP,10,"...","Total ACPSA compensation ","Thousands of dollars",3896641,3972192,3977146,4032800,4074767,4366258,4583804,4557778,4316415,4199820,4389954,4482580,4475272,4437405,4724555,4758675,5031785,5464570,5680073,5822330,6360798,6777376,7331564
 "04000","Arizona",6,SAACARTSCOMP,100,"..."," Core arts and cultural production ","Thousands of dollars",576143,571745,569139,610741,669384,791916,884918,877709,727144,697257,687265,748575,752065,791653,829705,882192,941568,1043118,1095087,1105440,1156484,1411886,1551544
 "04000","Arizona",6,SAACARTSCOMP,111,"...","  Performing arts companies ","Thousands of dollars",28146,26125,24673,35778,33148,38451,41984,44977,44814,46909,46005,45272,41107,42927,47079,55139,62081,65108,72996,60457,44910,69221,82130
 "04000","Arizona",6,SAACARTSCOMP,112,"...","  Promoters of performing arts and similar events ","Thousands of dollars",11127,22520,20235,19860,23488,30238,34507,38282,42931,41948,40814,52968,54896,61681,68384,71401,74757,79037,88574,67992,62485,96796,134593
 "04000","Arizona",6,SAACARTSCOMP,113,"...","  Agents/managers for artists ","Thousands of dollars",3807,3575,3381,5073,5051,4963,5698,6499,5145,5426,6985,5642,5903,5143,4920,5908,6183,6662,7906,8168,11989,11432,11837
 "04000","Arizona",6,SAACARTSCOMP,114,"...","  Independent artists, writers, and performers ","Thousands of dollars",48068,39803,36469,35760,41383,50369,62796,63847,72194,77251,46660,44300,45698,40355,45384,41005,32353,40193,43477,49186,60401,79221,84194
 "04000","Arizona",6,SAACARTSCOMP,120,"...","  Museums ","Thousands of dollars",25428,33459,28407,29959,33510,38807,44156,44119,46093,46458,51304,67394,76270,84573,79059,93721,104207,111621,113507,137345,109366,112256,140784
 "04000","Arizona",6,SAACARTSCOMP,131,"...","  Advertising ","Thousands of dollars",68474,73739,67772,70630,77079,91256,86477,88695,76365,77236,86618,102697,115777,125700,139391,152933,172090,195225,204675,187721,208356,275667,286462
 "04000","Arizona",6,SAACARTSCOMP,132,"...","  Architectural services ","Thousands of dollars",189937,163832,166939,169278,196804,233227,266696,250932,172257,142635,153968,155883,161816,165022,170589,186186,203852,220104,238539,250485,262901,280205,297935
 "04000","Arizona",6,SAACARTSCOMP,133,"...","  Landscape architectural services ","Thousands of dollars",40052,43700,48503,51661,70905,94716,107813,108112,54156,46459,38375,32907,39514,29782,32615,32659,37426,45092,47667,57402,64050,61227,63677
 "04000","Arizona",6,SAACARTSCOMP,134,"...","  Interior design services ","Thousands of dollars",23715,23314,25285,28267,27801,35524,44198,37466,26123,20494,20210,33258,26314,36221,46285,45516,51438,66353,64847,62455,78418,134678,151130
 "04000","Arizona",6,SAACARTSCOMP,135,"...","  Industrial design services ","Thousands of dollars",5333,3757,4187,4098,3398,4163,4811,4613,4915,4490,4304,6392,5747,6702,5589,5607,6737,8939,11811,16566,18385,19104,19425
 "04000","Arizona",6,SAACARTSCOMP,136,"...","  Graphic design services ","Thousands of dollars",35302,30875,33242,34321,38047,42420,43648,44697,34337,36777,33722,37678,28889,38267,36830,36414,36235,40197,42581,45538,57902,67374,77206
 "04000","Arizona",6,SAACARTSCOMP,137,"...","  Computer systems design ","Thousands of dollars",7461,6521,7426,8815,10599,13121,17233,18918,19359,23131,26512,27336,30625,32947,34463,37625,26380,29009,30666,29576,28104,42333,46478
 "04000","Arizona",6,SAACARTSCOMP,138,"...","  Photography and photofinishing services ","Thousands of dollars",52792,54275,52967,49492,45518,46666,47811,44770,36094,35725,34060,36515,25307,33598,32389,33956,36191,38100,37627,32804,34667,36562,39193
 "04000","Arizona",6,SAACARTSCOMP,139,"...","  All other design services ","Thousands of dollars",1077,1106,815,913,1233,1533,1959,1942,1672,2320,2465,4110,2392,2754,3681,3566,4100,4010,4630,4787,5337,5792,6171
 "04000","Arizona",6,SAACARTSCOMP,140,"...","  Fine arts education ","Thousands of dollars",11435,11112,14599,16621,20222,24416,27569,32629,30443,28572,25843,19301,18828,20777,21287,22839,25938,31835,34832,29557,35481,48413,58367
 "04000","Arizona",6,SAACARTSCOMP,150,"...","  Education services ","Thousands of dollars",23991,34032,34240,50215,41199,42045,47561,47211,60247,61426,69419,76923,72983,65205,61760,57718,61600,61631,50754,65399,73733,71605,51961
