State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v166_rawvalue_norm,v181_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
GA,0.5332572572077957,0.5185576676454637,0.4526077091858475,0.36918523380096857,0.8054623398814293,0.627477065024723,0.6372136005976821,0.5066958369609362,0.3912453961697041,0.5036058297477277,0.912770005572053,0.23159070165878223,0.9050425170879591,0.6786599935193182,0.21781742298703527,0.8827992804215248,0.9181960089272955,0.5440292788158515,0.2637999346095983,0.39416740956016677,0.5774473689485359,,,0.5396194481059272,2
HI,0.9589246458810148,0.9820242686216002,0.7499336319469805,0.6442853668431567,0.9409580226810055,0.6476639247275509,0.9438798555778342,0.9148236469665394,0.973380269970898,1.0,,0.6797044493889765,0.33308004380758094,0.8264718613404223,0.0,0.33537119561602535,0.4647921706300622,0.5536297185046128,0.6718737942848598,0.23051693886484498,0.6947197989605514,,,0.6157288002097508,3
IA,0.8378025758742256,0.7931552106996906,0.6987439347681218,0.7171840350696476,0.8458289710943021,0.5013694262810978,0.9216823252353634,0.7214010699544156,0.7037921795424876,0.6087240320900703,0.9511811293207991,0.32933294291911197,0.5261339348714621,0.5106831420041191,0.7903229319792848,0.822172063807163,0.7145035336443458,0.766957547047455,0.6442672500694023,0.8501907902410221,0.90846272866093,,,0.6892678070533872,5
ID,0.8450197083756219,0.8627715422667128,0.6756583125470912,0.7391262917979907,0.7466657580447409,0.29422771815453985,0.967494118787336,0.5955960829358324,0.458016910160546,0.6000368576805433,0.36554625123852846,0.2312409199908547,0.658922375438582,0.8257622456070853,0.7643700934189284,0.925877528755553,0.44922178829943893,0.7023018012499282,0.44774732662965866,0.6068606466720803,0.43580936225635397,,,0.5999215291049066,3
IL,0.738701717078627,0.7367984609573215,0.6382473906921778,0.5597936057321979,0.8033804096228767,0.7829891143177372,0.6148530627097418,0.8093009150372551,0.5971302081879297,0.4649709185449946,0.5464492567689136,0.7151753614529401,0.6523849941481394,0.6783884750238918,0.5865502817237289,0.7013200078373226,0.6837509846482209,0.6558709736194218,0.7179828624489164,0.6592165033538221,0.7867887598125896,,,0.642274739259944,4
IN,0.4821280903567615,0.4806916963780138,0.41537028001459986,0.3479262999770113,0.6136101678405497,0.5821698061201354,0.6813624382378467,0.6258436301430297,0.4545702749808711,0.49994413708211305,0.7506497460024979,0.31320278040574473,0.9943702066713759,0.5800348199914241,0.7124631819474371,0.914226769160355,1.0,0.46826914528494445,0.3835058578391386,0.5863262475969707,0.7871268846070885,,,0.5760814754835413,3
KS,0.6447952295264339,0.6338541072607685,0.5111746859565518,0.5409343755077853,0.7055473184435286,0.42459469449420195,0.7862850916963835,0.5787164061136473,0.4817461072398065,0.6158520913010532,0.7821831575080289,0.30901408044633144,0.4198378879711815,0.6732220544803215,0.8465267752138842,0.9425122176092824,0.8839668872665752,0.5618224454256122,0.4023268752118526,0.5820573885331136,0.7375900533812336,,,0.5938436332085263,3
KY,0.2282289358623022,0.202509046051065,0.4671424072701664,0.5358928563096658,0.41596863527108463,0.494744533802821,0.7046877079526361,0.4107561332130427,0.36895664132052175,0.5624359437037241,0.9068341071822728,0.22906090103319762,0.7978039657699478,0.4778186392142762,0.42484851615846464,0.9372590220138096,0.7139224087165668,0.2872542830284135,0.5812228733988858,0.26552533185711624,0.6111112016421939,,,0.48290836776237156,2
LA,0.1571971129485492,0.20339628815415056,0.14329690402360773,0.24333665271685911,0.3768222842986827,0.6169615544517412,0.3258041099591066,0.38013827532635425,0.09772239002767558,0.5555353272912297,0.32046239260821474,0.21328648581164908,0.2014110881810217,0.2634437207969642,0.4609457462652751,0.9358802907451091,0.5188937838058323,0.20143636345262628,0.20790621002355458,0.23669171858601606,0.49246516911501464,,,0.3251379031176925,1
MA,1.0,1.0,1.0,1.0,0.8254265825383073,0.8916727474576231,0.962569365381883,0.9940965484812732,1.0,0.6944568648952937,0.45278694977430767,0.6563329108705396,0.8645059773746463,0.8979455750113179,0.7961510992019759,0.022899752989596345,0.5413877877661877,0.8375621605913812,0.7969649574221984,0.9620484431588601,1.0,,,0.781673078314336,5
MD,0.7143120303918541,0.7546207389686113,0.6262035483459375,0.5218735529048948,0.6128033106513269,0.8420003403917237,0.5990923102931709,0.8160476478680885,0.5988158280258702,0.7364836260432606,0.9122058457648647,0.6396682739451022,1.0,0.8651703367670821,0.4530085747646685,0.7735308456830678,0.5684780698525598,0.6497151840358248,0.8294954177603426,0.7671024720188884,0.8008087847178973,,,0.6855198517815927,5
ME,0.670026633665038,0.7298658252821193,0.665908395737431,0.5977154884223805,0.4310641648904564,0.46245550455769935,0.9984587275278842,0.6596602872479636,0.6365512543673583,0.8183930447993418,0.3145647016635218,0.12296566889510438,0.8081409323831128,0.6289480365366671,0.7779705119960453,0.967758065469834,0.31130052732441527,0.5415458730092908,0.8307052235769504,0.7408562740816009,0.6173132644874414,,,0.6060076548146209,3
MI,0.6187757303145363,0.6160314811478302,0.5771461120328301,0.4424688235679175,0.6954593801522342,0.6336437009303921,0.725829392173404,0.7465647324021876,0.5598536584821934,0.6564903974044234,0.6244282505003789,0.4218275556758733,0.9930939378423081,0.6653890218143824,0.46440018667326227,0.8755866843221706,0.5930459700391756,0.4355835814374557,0.5826587865350239,0.5074296791782811,0.6187968099595975,,,0.5933865396629936,3
MN,0.9351617251780938,0.9656419536867327,0.760493632052635,0.8001347965800732,0.7982032813657384,0.6574207797138201,0.9225105131218969,0.8851028288403602,0.773643668020538,0.7269253273871499,0.952464552406283,0.5758423651429956,0.6386877714191556,0.7987430854356719,0.5485597151590753,0.8256267824741653,0.5294645184531759,0.9184203855156559,0.6424326322539449,0.8719279369055858,0.8604188506745407,,,0.744901231899422,5
MO,0.45848673239483173,0.4652679385521231,0.4244002805003819,0.5064086858527107,0.48665014167804765,0.44072338441030656,0.5212978695241455,0.4902323848500192,0.19713831156100836,0.6022089288575372,0.7119673899514698,0.3748343798455738,0.7957937298509936,0.5636966028580164,0.5075382764333437,0.8869104897135031,0.6224189418949646,0.3812255908907235,0.5075936279258042,0.3920131686487917,0.667547711322449,,,0.5001979348871248,2
MS,0.0,0.0,0.0,0.0,0.4685871328014122,0.6267903302052765,0.31398983472816366,0.0,0.0,0.500055939890145,0.918973200776365,0.05145985290490289,0.542995306350428,0.0,0.21753568599743925,1.0,0.9696165279888469,0.0,0.14568918272778364,0.03838657215536975,0.48712514583250005,,,0.28550930510721056,1
