State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v148_rawvalue_norm,v155_rawvalue_norm,v161_rawvalue_norm,v156_rawvalue_norm,v166_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v181_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
MN,0.9894878690420225,0.9959632077036678,0.7972055087968406,0.8130925709395386,0.761726883389684,0.9373297964539655,0.8691260853056169,0.5142372563250829,0.8167465075712936,0.5951360419186134,0.8594395228081645,0.6278152562150905,0.8920299080663827,0.7742373242973755,0.8713010944994161,0.6559710900060597,0.8709655117254981,0.7956842677623925,0.5758423651429956,0.6386877714191556,0.5485597151590753,,,0.7363902524794513,5
MO,0.45202729718076284,0.45261544976101914,0.4825827222982253,0.5091379467292222,0.4478618635981753,0.5393136565554933,0.5139825230653079,0.42003743889592376,0.6600232303672361,0.6191578735017851,0.4025159386543537,0.5374693405045352,0.49756967279362935,0.19866745846775943,0.6341616469642296,0.42677155046530507,0.907371907656712,0.5343057450343645,0.3748343798455738,0.7957937298509936,0.5075382764333437,,,0.49607907493745235,2
MS,0.01332594351761521,0.0016199127719927335,0.08206807384303554,0.01819724392899138,0.4155636363954825,0.37617259286568366,0.0,0.31249715801045935,0.7633487396698633,0.955103494808851,0.0,0.21969108176193525,0.009514919995982274,0.08097971713525262,0.42770462255825775,0.6239232863060283,0.9926356145591507,0.0,0.05145985290490289,0.542995306350428,0.21753568599743925,,,0.27746985833551596,1
MT,0.6047932016619824,0.6773113841729128,0.5180588562406412,0.7090791501500319,0.34242965480282544,0.871087549649657,0.2845220443235992,0.7725266943744967,0.5599706277524539,0.008512107483425013,0.6329925391128549,0.4362919820936297,0.4549497788846114,0.17518709023054121,0.46515536769823485,0.03375220447240059,0.9665430780527376,0.5442480200177521,0.20911817206783367,0.5936338211912613,0.5331359064609453,,,0.4724226923134013,2
NC,0.5637035915746961,0.5688345076608571,0.5035294949514649,0.3605608781448613,0.6247417037497857,0.7066580785525818,0.5230456265650235,0.38074105308830125,0.6801184300054435,0.6411006148769294,0.35860601596240615,0.5248589058731002,0.49389357299838604,0.48736850913258106,0.8346668302593556,0.6626488343452002,0.9475666396917183,0.5646702103634611,0.3554216808044377,0.63586251207437,0.2783027343988576,,,0.53167729204881,2
ND,0.7204823079372561,0.7643319158125883,0.5062742715159583,0.6303277937378394,0.6891740394439638,0.9473295689686647,0.49986215551072954,0.7921109756095064,0.9276179631712541,0.0988151102478469,1.0,0.4837021239691677,0.8349376623598974,0.5542982894169877,0.7608051227022201,0.40767890063398343,0.9472144045919704,0.5013842469585457,0.0,0.4497023001056557,0.44924635536393714,,,0.5893316140026351,3
NE,0.8461267591508289,0.8172269110420127,0.6407006599820224,0.6745296068372718,0.8470809732581184,0.8639823670942587,0.6502270760823602,0.5855167695767373,0.6559347206893209,0.44681486507022755,0.5960092112458614,0.6148935861550782,0.5783301993821122,0.704119000136079,0.8208732532761334,0.6259116300227567,0.8879245246121567,0.6949916539223915,0.4894495305903068,0.1775015964665818,0.6968516362689013,,,0.6324998423118873,4
NH,0.86879569382709,0.881544662074186,0.9757749008399521,0.9597462110198965,0.5770032351434551,0.9996368454138961,0.8362370312788979,0.7429613762683807,0.1604061541833187,0.5003111600005838,0.8341650307680518,0.7293451434023488,0.984424220945627,0.6811382942308468,0.8268327714205579,0.46540674111911123,0.9272861410256613,0.918136584883357,0.248755797732708,0.8734311216731452,0.6455757622256825,,,0.710768858158034,5
NJ,0.8985622537609198,0.8884693722500628,0.9444071649115583,0.8915669105694479,0.9198999029153804,0.8349761168070315,0.9431184239166033,0.39168345887180406,0.3009261368015917,0.8419016733504922,0.7594454562328898,0.7962138767865059,0.913466618005216,0.9201744471200095,0.797971967983851,0.9245051548743461,0.7526093513775923,0.8638976271416652,0.6583708248152343,0.6665306113033866,0.5928557571573698,,,0.7500705957705889,5
NM,0.2968755870225987,0.4390159322724441,0.5565726570153973,0.6807063981711793,0.16573009335542047,0.6025259748392259,0.35040525798747335,0.7764025535001715,0.2415215043772828,0.5708305617690554,0.3226428743349641,0.0,0.10743773300460614,0.19151117348630342,0.3041518375667433,0.1796512084425739,0.9172345745152186,0.16343271008760427,0.4494503355893017,0.4266846999704248,0.5005000745207413,,,0.37469471553766953,1
