State,v001_rawvalue_norm,v127_rawvalue_norm,v128_rawvalue_norm,v129_rawvalue_norm,v135_rawvalue_norm,v161_rawvalue_norm,v015_rawvalue_norm,v039_rawvalue_norm,v148_rawvalue_norm,v125_rawvalue_norm,v124_rawvalue_norm,v156_rawvalue_norm,v134_rawvalue_norm,v139_rawvalue_norm,v083_rawvalue_norm,v133_rawvalue_norm,v155_rawvalue_norm,v166_rawvalue_norm,v179_rawvalue_norm,v182_rawvalue_norm,v181_rawvalue_norm,hate_crime_count,hate_crime_norm,target_index,Percentile_Class
ND,0.7344067715194669,0.763349361886131,0.5238635796765675,0.6385290416058859,0.7517301788725538,0.40767890063398343,0.9371115026930973,0.5550617217382179,0.5680887905247906,0.8095182013326016,0.9392312171986682,0.9472144045919704,0.17810102278552553,1.0,0.536713789395915,0.8298455463715579,0.7610886813996213,0.5013842469585457,0.0,0.4497023001056557,0.44924635536393714,,,0.6037211643024861,3
NE,0.8515025744222284,0.8224042461647554,0.6020243658294001,0.628848831029242,0.8983835775838734,0.6259116300227567,0.8891338432123125,0.6443281752845166,0.714709820041299,0.6374426178770293,0.8213132254632569,0.8879245246121567,0.46719265839480445,0.5591582177319611,0.6420970926358806,0.5768513859910788,0.8238391943617933,0.6949916539223915,0.4894495305903068,0.1775015964665818,0.6968516362689013,,,0.643266381723024,4
NH,0.8536913160239966,0.8875141314565482,0.9635944876471036,0.9951604332371636,0.5595247893479914,0.46540674111911123,0.9993342165921429,0.8420050678209628,0.6733862040304582,0.7973553269591916,0.22592086578379802,0.9272861410256613,0.451480031840717,0.829587536253728,0.741729209210437,0.9714444050669829,0.83020731919976,0.918136584883357,0.248755797732708,0.8734311216731452,0.6455757622256825,,,0.7136603404150295,5
NJ,0.8871469199727784,0.8770930738054806,0.9432977051060419,0.9307662448883828,0.8897740937106245,0.9245051548743461,0.8600571905011307,0.9428396717108755,0.937259099171083,0.3704580453887493,0.2007307978083479,0.7526093513775923,0.8513454955749612,0.7822061910792993,0.8088294668424235,0.93289820913198,0.8024778484627713,0.8638976271416652,0.6583708248152343,0.6665306113033866,0.5928557571573698,,,0.7489067899920239,5
NM,0.2318399051310854,0.3795866897257731,0.5126417844183492,0.6561290016768865,0.22804478858524946,0.1796512084425739,0.5871861628565326,0.32285188307711526,0.16630364215966312,0.7454497880175728,0.20043703244050892,0.9172345745152186,0.5962283049683382,0.2993875566286412,0.0,0.031748816783500326,0.2995396575065133,0.16343271008760427,0.4494503355893017,0.4266846999704248,0.5005000745207413,,,0.3588331189591633,1
NV,0.6530014250975608,0.6076213342012057,0.629440263422809,0.6654916520455553,0.6548038183194844,0.35431793581150045,0.7129680825718182,0.7080501722809563,0.35097020198098644,0.5505569026014522,0.338303288763161,0.787467589918592,0.6378900951329755,0.4478327790373468,0.6201743711305113,0.46345587037739905,0.23974209102741526,0.7101895834445535,0.5628638933180713,0.3568409570200145,0.33008581001715476,,,0.5173667326145693,2
NY,0.9390895088994463,0.9140917883560323,0.8676787576184215,0.8880888652181023,1.0,0.9101868229742159,0.890368738056797,0.9946644948211661,0.9605847065663852,0.5200831865705616,0.6260478811866844,0.3998315205599263,0.9201471648063594,0.5740905070831298,0.9168358658241083,0.82454167146541,0.7062760923346807,0.6744991306185277,0.6038229136993805,0.7270229026605246,0.6062774103388947,,,0.7483740877117616,5
OH,0.4492035040270547,0.4533384645927306,0.45510719859145277,0.3329331853790851,0.4792106729293361,0.6108284414841565,0.7102626806266877,0.7403978583018986,0.5172558417785768,0.23043889108411783,0.7648647264419876,0.9129508720624046,0.4879315128902169,0.39649041740105084,0.5424973372602754,0.5907125228992869,0.7757831313791875,0.6221658295672803,0.42804071303130864,0.9957730131047118,0.8230262807306304,,,0.5599642316165199,3
OK,0.3254760721373124,0.23465329789209877,0.3554776301276517,0.30990172028954627,0.45494641604488634,0.3345189940726665,0.6525999410708491,0.3695059065849691,0.2860318613411574,0.2966203531593072,0.3017112698895976,0.9616477039348355,0.703266798490016,0.2734689512743404,0.37979246031145103,0.3430194715494456,0.6138779488303219,0.4455843634451614,0.26408875945439436,0.04278194312818706,0.5262249676681945,,,0.3852362195771086,1
OR,0.8817616498119109,0.855654804156583,0.819343736177137,0.841222920455888,0.6800819171482518,0.40710984585027815,0.911786471362012,0.6903620083614692,0.5451987220894038,0.360734947773895,0.35954032493092986,0.8408841291551329,0.6192261346245125,0.5549275781834621,0.7060154064381182,0.5756825157572251,0.49095503051055617,0.8649339376367411,0.6843423037263087,0.422871042673282,0.5745083420026447,,,0.6221428985829883,4
PA,0.6449617524462744,0.6601365070809474,0.6452913909905803,0.5671125491692578,0.5139300396641449,0.6269421267016501,0.7495123144955042,0.795544876774426,0.5630919856883134,0.2683744361181234,0.22545341338797822,0.8333583016496412,0.7354946331302507,0.6268678935033494,0.730915888416496,0.7965562637638416,0.8851215263595895,0.588489248104062,0.3268861383196251,1.0,0.34778677732497215,,,0.5969012755949558,3
RI,0.8962402619767776,0.8687776857889039,0.8191081089217581,0.6810417596621617,0.6360895675719455,0.8068721486477509,0.9396092428029253,0.9504176191089165,0.9636782857341052,0.6354943799568521,0.41093788996557673,0.7094980234863798,0.18383113850688862,0.6758264756500716,0.7224236587242873,0.9137108921608935,0.633082730485877,0.7608631390789935,0.5338388936084124,0.6665306113033866,0.6159520515078301,,,0.6829011165750315,5
SC,0.3542563301999946,0.39459796706561406,0.3856592736934202,0.40459143834997163,0.48094702371101167,0.5534112330521693,0.5722074727849223,0.2493483250576193,0.27055057092829143,0.3648367901290815,0.7446066142942618,0.9822370177423418,0.47432919407318197,0.5848948856340176,0.31548732837308063,0.6119940682947834,0.6683085386869033,0.40627028372505114,0.12819817668594172,0.5277154930588928,0.2861975552309812,,,0.44366570821688783,1
