State  v001_rawvalue_norm  v127_rawvalue_norm  v128_rawvalue_norm  v129_rawvalue_norm  v135_rawvalue_norm  v161_rawvalue_norm  v015_rawvalue_norm  v039_rawvalue_norm  v148_rawvalue_norm  v125_rawvalue_norm  v124_rawvalue_norm  v156_rawvalue_norm  v134_rawvalue_norm  v139_rawvalue_norm  v083_rawvalue_norm  v133_rawvalue_norm  v155_rawvalue_norm  v166_rawvalue_norm  v179_rawvalue_norm  v182_rawvalue_norm  v181_rawvalue_norm
   SC            0.354256            0.394598            0.385659            0.404591            0.480947            0.553411            0.572207            0.249348            0.270551            0.364837            0.744607            0.982237            0.474329            0.584895            0.315487            0.611994            0.668309            0.406270            0.128198            0.527715            0.286198
   SD            0.616942            0.693432            0.254680            0.433411            0.606498            0.308171            0.836005            0.433036            0.545916            0.823492            0.683767            0.958599            0.367222            0.676286            0.353799            0.264564            0.682464            0.548892            0.277454            0.332312            0.764196
   TN            0.251749            0.236245            0.352334            0.356941            0.410029            0.513222            0.606007            0.451751            0.274962            0.385220            0.886860            0.943300            0.792698            0.415011            0.383372            0.487289            0.729367            0.444006            0.192919            0.747861            0.248851
   TX            0.733951            0.678694            0.620792            0.645327            0.913312            0.671515            0.755875            0.590184            0.561377            0.312633            0.363368            0.862264            0.737934            0.284970            0.408572            0.286362            0.557928            0.671546            0.412642            0.000000            0.234201
   UT            0.915691            0.945427            0.677743            0.713972            0.821857            0.282821            0.951540            0.851578            0.567998            0.644679            0.464655            0.857186            0.871574            0.612202            0.629664            0.460800            0.678691            0.965514            0.517725            0.422278            0.769619
   VA            0.785066            0.782137            0.642122            0.603957            0.814301            0.666847            0.793314            0.767456            0.573745            0.497975            0.871445            0.845287            0.573165            0.761078            0.747000            0.604453            0.753858            0.727590            0.412833            0.984593            0.468673
   VT            0.840674            0.881054            0.875351            0.920082            0.525155            0.459316            0.963914            0.782880            0.602434            0.724736            0.576768            0.979933            0.423687            0.644477            0.857223            0.897597            0.740283            0.527699            0.169261            0.560272            0.764644
   WA            0.935597            0.919741            0.827722            0.901390            0.786008            0.556496            0.893836            0.859639            0.654710            0.474279            0.464893            0.811585            0.487686            0.652536            0.678193            0.578327            0.626029            1.000000            0.534318            0.443633            0.570373
   WI            0.812913            0.827107            0.630678            0.551593            0.557652            0.604369            0.833760            0.756514            0.642330            0.444840            0.544287            0.764797            0.382985            0.788112            0.701658            0.846622            0.885472            0.641544            0.523348            0.813985            0.821464
   WV            0.005230            0.030925            0.430815            0.327211            0.000000            0.365540            0.762338            0.446877            0.312846            0.469400            0.446579            0.980273            0.724717            0.394916            0.511154            0.512506            0.397657            0.226485            0.062390            0.971841            0.188801
   WY            0.614358            0.650194            0.535162            0.659057            0.462848            0.004943            0.857637            0.363011            0.134501            0.964897            0.457849            0.965124            0.481842            0.518873            0.431115            0.673575            0.429340            0.688198            0.379375            0.651129            1.000000
